id;points;value;round
130;0;20;14
311;0;16;17
676;0;22;0
404;0;5;0
748;0;18;5
245;0;7;5
278;0;14;20
58;4;22;2
69;0;27;1
12;0;5;2
566;0;18;13
595;0;5;10
458;6;18;3
572;0;5;14
362;6;22;9
530;0;13;0
633;0;18;0
715;2;15;11
47;3;16;16
144;2;18;10
564;0;12;11
182;3;25;19
602;0;18;8
756;0;14;17
645;2;23;12
448;0;16;8
45;5;17;5
622;1;18;5
761;3;19;19
409;0;13;12
149;6;33;5
767;3;18;9
71;7;26;5
754;0;17;17
31;0;16;13
370;0;22;15
683;0;14;2
580;0;5;0
270;2;21;19
682;1;18;2
157;3;24;3
268;0;22;0
365;5;20;12
463;0;15;17
685;2;18;14
448;0;16;16
749;2;18;12
569;0;12;11
402;2;20;9
469;3;19;9
529;0;20;0
723;7;19;11
749;1;17;17
174;0;20;3
527;3;18;13
25;0;5;2
761;4;19;18
683;1;14;3
598;0;15;7
138;2;20;2
619;0;20;11
346;2;19;9
642;0;15;3
499;0;35;1
756;0;14;19
726;0;17;1
733;2;19;5
26;0;5;18
170;2;20;10
605;0;18;19
465;0;5;8
429;3;10;8
193;4;25;15
625;3;18;4
666;0;15;2
757;0;6;20
387;6;21;20
689;5;18;17
683;0;14;4
701;3;18;10
529;1;20;10
147;0;13;17
382;0;5;16
689;4;19;8
465;0;5;4
726;0;17;10
64;0;5;1
59;3;24;12
619;4;19;19
725;0;14;3
608;0;17;11
21;0;16;2
306;3;14;19
494;2;15;20
530;3;13;16
619;1;19;17
461;2;19;9
275;0;5;0
14;0;18;6
328;0;18;0
737;0;18;0
426;2;17;5
388;7;22;4
469;0;19;13
275;2;5;15
318;2;18;6
427;0;19;3
576;0;24;20
556;0;7;4
615;4;18;7
273;0;19;18
321;1;5;13
764;1;17;20
697;0;16;3
31;2;16;4
622;3;18;12
371;3;22;18
90;0;20;13
492;3;14;19
644;3;16;18
724;0;18;11
724;0;18;17
334;3;19;14
389;0;16;7
724;0;18;0
270;4;23;11
704;3;25;14
19;3;19;14
325;0;20;0
732;0;17;3
262;5;14;5
673;4;8;8
734;3;18;15
163;0;16;14
522;1;19;16
710;0;5;8
699;0;20;1
707;0;5;5
733;2;19;10
697;7;18;18
577;-1;17;19
84;0;5;9
27;0;17;12
578;0;17;4
107;6;17;4
418;4;16;8
224;0;19;13
147;2;13;18
28;2;19;16
714;6;19;5
172;3;26;4
648;0;7;4
555;1;19;6
596;0;5;0
243;3;16;14
447;0;16;16
508;0;16;19
498;0;20;11
251;0;12;14
554;0;7;3
450;2;20;7
346;0;19;12
444;0;18;16
3;1;18;6
487;5;20;2
715;3;15;10
445;0;13;2
322;5;23;17
655;0;12;19
727;1;16;6
388;3;22;13
445;-1;13;16
528;0;22;7
669;0;16;2
499;0;35;17
177;0;24;4
649;0;17;19
774;1;5;18
505;2;18;20
392;2;15;9
556;0;7;9
262;6;14;11
362;3;22;14
391;11;20;17
174;0;20;18
751;-1;16;9
680;2;18;7
147;0;12;2
472;4;18;2
628;0;6;10
420;0;17;2
376;0;19;17
750;0;19;19
215;2;15;13
761;3;19;15
748;3;18;12
506;0;6;4
530;0;13;4
330;-1;17;18
395;0;16;0
402;3;20;13
206;3;28;3
603;0;7;9
86;7;23;13
90;0;20;15
459;0;14;11
21;0;16;12
12;0;5;6
70;0;16;19
310;0;20;5
524;0;27;11
376;3;19;11
240;0;18;18
647;2;18;12
99;0;13;17
428;0;5;13
146;3;28;9
574;0;5;13
686;0;8;15
428;0;5;14
3;2;18;16
344;0;18;10
164;0;15;11
479;1;15;19
759;2;18;15
625;7;18;13
724;2;18;1
666;0;15;3
536;2;24;10
81;0;15;3
285;3;18;15
758;0;19;14
612;0;20;20
651;0;5;19
522;1;19;14
487;3;20;9
530;0;13;1
362;7;20;4
505;2;18;16
488;0;18;9
760;4;18;17
523;0;20;19
383;3;22;9
620;0;5;12
633;2;18;14
189;6;31;6
351;1;15;17
615;1;18;13
696;0;17;9
674;3;20;12
531;4;18;4
47;0;16;0
28;2;19;14
701;2;18;7
748;3;18;9
381;0;16;8
64;0;5;0
712;0;5;6
345;0;14;6
574;0;5;4
75;4;24;16
624;1;17;8
67;0;17;4
572;0;5;11
708;0;5;6
53;3;19;3
243;0;16;3
523;0;20;8
422;0;8;7
764;0;18;7
257;2;21;3
224;0;19;4
300;0;10;7
728;1;15;18
672;0;18;6
675;0;20;4
317;0;22;5
107;6;18;11
656;0;14;5
445;0;13;5
170;3;20;8
155;4;20;4
725;0;14;12
564;0;12;2
469;1;19;16
738;2;18;9
596;0;5;5
270;2;24;9
70;0;16;13
5;0;6;5
595;0;5;3
151;2;19;19
619;0;20;4
703;0;20;19
255;2;18;19
387;7;21;18
236;0;22;8
583;0;5;15
726;0;17;19
251;0;12;16
179;1;18;2
578;0;17;7
427;1;19;15
386;2;21;8
141;4;22;3
682;0;18;20
141;5;23;16
18;4;20;2
722;0;17;9
741;0;25;11
714;0;19;0
728;3;15;8
133;12;26;9
494;0;15;6
618;0;9;20
260;0;15;7
450;4;20;9
688;3;20;4
532;0;18;8
412;7;18;1
115;0;16;12
391;10;19;16
479;0;15;16
164;0;15;9
730;0;19;14
752;0;18;5
416;0;16;5
396;0;5;6
682;0;18;14
100;0;12;16
601;0;17;11
448;0;16;11
556;0;7;10
406;4;18;7
416;0;16;14
407;7;21;15
197;0;18;15
645;6;23;14
163;0;16;10
110;0;20;12
615;2;18;8
527;2;18;7
629;8;17;7
406;3;18;12
444;9;17;3
376;2;20;7
748;3;18;11
718;7;17;12
669;0;16;10
317;0;21;11
450;2;21;14
564;0;12;9
469;4;19;19
482;0;10;10
56;0;25;0
585;0;5;6
750;1;19;13
529;0;20;6
336;0;15;5
64;0;5;10
166;1;22;2
169;3;22;19
10;2;8;18
607;0;5;1
735;2;23;10
706;0;15;4
69;3;27;12
731;0;24;15
581;0;8;5
553;0;15;9
694;4;18;20
179;3;18;5
724;0;18;15
415;1;19;14
666;0;15;12
499;0;35;11
621;0;5;3
400;0;18;8
667;4;12;17
169;2;24;6
381;0;16;2
168;0;21;17
455;0;12;9
141;7;23;11
528;4;22;5
752;0;18;15
762;0;18;9
306;0;15;5
755;0;18;12
65;4;26;20
747;4;18;15
711;0;5;7
95;2;16;11
96;7;20;15
644;1;16;13
721;0;25;6
378;0;19;5
295;0;18;12
170;0;20;1
447;0;16;13
249;0;18;18
110;0;20;15
739;0;5;7
172;2;23;14
300;0;10;19
759;0;18;7
688;2;20;15
180;0;15;3
508;2;18;3
409;0;13;19
652;0;5;0
430;9;19;10
764;-1;17;14
725;0;14;6
678;0;25;17
667;7;11;11
351;0;15;18
661;2;17;18
128;3;19;15
141;6;22;4
715;8;15;14
520;2;11;20
592;0;5;2
224;-1;19;11
397;3;21;14
174;0;20;17
59;0;25;0
207;4;22;5
192;0;5;3
26;0;5;19
655;0;12;17
233;0;18;18
630;3;17;6
591;0;5;13
318;2;18;19
669;0;16;7
234;1;19;9
697;2;18;17
756;0;14;13
311;1;16;20
627;0;14;6
558;7;24;15
667;3;9;5
441;0;12;15
177;0;25;3
724;0;18;18
235;0;19;8
262;1;14;7
325;0;20;19
653;0;5;16
683;2;14;20
307;-2;22;12
706;3;15;16
711;0;5;9
724;4;18;7
711;0;5;4
96;0;18;3
262;0;14;3
14;2;18;19
329;0;18;3
157;7;27;10
455;0;12;18
621;0;5;19
449;0;17;0
193;4;25;7
469;0;19;4
391;1;20;18
105;8;16;7
495;0;20;0
529;0;20;19
174;0;20;5
425;0;15;16
376;0;19;10
5;0;6;9
618;0;9;11
574;0;5;9
756;0;14;8
389;0;16;3
772;0;5;18
178;0;5;8
93;2;14;16
763;0;18;7
722;2;17;12
404;0;5;13
618;0;9;13
617;2;16;5
278;3;14;19
527;7;18;10
756;0;14;7
341;3;17;13
209;0;23;3
240;3;18;14
570;0;5;15
417;0;16;3
611;2;18;19
764;0;18;13
696;0;17;20
503;2;16;9
211;3;25;18
285;6;18;12
704;2;24;1
526;8;16;17
508;5;18;8
172;2;24;17
593;0;5;14
677;0;19;10
22;1;5;8
263;6;20;5
711;0;5;20
71;3;26;6
651;0;5;9
495;7;20;3
461;4;19;16
382;0;5;4
763;3;18;15
762;2;18;19
174;0;20;10
596;0;5;12
713;4;19;11
428;0;5;11
459;0;14;12
58;5;22;3
115;3;16;10
173;0;17;1
581;0;8;17
726;2;17;2
616;0;19;19
381;0;16;5
620;0;5;3
526;0;16;2
14;4;18;17
69;0;27;6
740;1;18;20
155;1;20;10
260;0;15;0
27;0;17;20
680;0;18;13
103;2;19;18
594;0;8;19
402;5;20;14
164;6;15;18
619;0;20;2
705;3;16;3
397;6;20;12
255;0;18;3
166;3;22;7
564;0;12;19
507;0;16;2
318;3;18;5
556;0;7;0
217;8;19;13
692;0;18;0
227;2;20;19
593;1;5;8
201;7;23;14
698;4;19;3
694;0;18;3
243;3;16;17
627;2;14;16
536;1;24;8
59;1;24;9
138;8;21;3
366;1;22;3
733;3;19;8
27;0;17;10
616;3;19;2
633;1;18;10
392;2;15;14
53;4;19;10
732;0;17;19
65;-1;26;17
209;4;23;7
358;0;18;19
656;0;14;11
720;0;17;18
362;8;23;16
542;2;5;2
334;2;20;3
569;2;12;16
149;5;33;9
585;0;5;17
428;0;5;18
133;0;25;4
558;7;25;5
336;0;15;18
362;2;23;19
224;1;19;8
628;0;6;0
741;0;30;0
286;1;17;2
532;0;18;11
618;0;9;5
207;6;21;2
246;3;19;14
566;0;18;7
528;3;22;8
344;5;18;17
325;8;20;13
615;2;18;17
528;2;22;11
704;1;24;2
12;0;5;18
508;-1;18;4
440;2;16;20
59;2;26;6
420;12;18;19
168;0;21;19
611;7;18;14
245;0;7;10
463;2;15;4
492;1;14;10
607;0;5;12
705;0;16;0
577;2;17;8
416;0;16;9
733;2;19;6
726;2;17;6
494;0;15;5
680;0;18;6
724;2;18;9
487;2;22;16
395;3;16;5
394;1;18;14
691;1;18;12
621;0;5;10
145;6;24;7
406;2;17;1
119;4;20;7
661;0;17;0
95;4;16;19
406;0;17;0
532;5;18;7
273;3;21;6
653;0;5;8
566;0;18;1
577;3;17;14
367;0;18;13
138;0;23;10
730;0;19;15
766;0;19;13
45;1;17;4
154;4;20;8
381;0;16;10
361;0;15;12
184;2;24;12
687;7;18;6
619;4;20;16
642;0;15;9
750;0;19;10
295;0;18;7
526;1;16;14
414;0;20;20
53;1;19;9
383;6;22;16
745;0;22;6
100;0;12;19
647;4;18;8
491;3;15;5
402;7;20;4
444;2;18;8
650;0;10;4
268;8;19;19
96;7;19;14
469;0;19;1
736;2;19;2
703;0;20;6
409;0;13;16
307;-1;22;13
659;0;12;13
155;3;20;7
703;0;20;0
340;4;19;16
708;0;5;5
103;4;18;10
264;3;19;20
53;7;18;20
163;0;16;12
642;0;15;2
409;0;13;5
674;2;20;16
387;3;21;5
753;0;22;17
622;0;18;0
90;2;20;5
166;0;22;3
558;2;24;14
93;0;14;17
762;0;18;13
144;2;18;13
147;0;13;14
189;9;33;13
329;0;18;19
358;0;18;15
595;0;5;2
100;0;12;17
636;7;16;7
675;0;20;0
346;0;19;19
178;0;5;5
700;4;22;1
591;0;5;0
629;2;17;13
166;3;22;12
723;4;19;10
527;0;18;18
733;5;19;11
507;0;16;5
563;0;8;13
712;0;5;4
227;7;20;6
406;2;18;8
417;0;16;8
420;9;17;3
178;0;5;13
418;0;16;18
572;0;5;3
741;0;28;5
630;1;17;3
735;0;23;0
520;1;11;15
740;1;18;16
753;1;22;8
679;0;13;2
45;2;17;7
692;3;18;1
497;2;19;2
217;0;20;2
406;7;19;19
229;7;18;16
522;3;20;11
622;8;18;4
527;0;18;0
5;0;6;19
587;3;8;16
670;0;16;8
683;0;14;16
310;0;20;3
384;3;18;5
576;3;25;14
207;16;22;19
760;1;18;19
275;2;5;10
640;1;20;7
468;0;18;5
273;2;21;5
317;0;22;6
605;1;18;9
306;0;15;9
629;4;17;4
178;0;5;15
130;0;20;9
501;2;16;18
223;5;15;11
387;0;21;14
469;5;19;17
105;1;16;6
103;0;18;1
697;0;16;5
55;0;7;3
19;1;19;18
105;2;17;18
444;2;18;6
574;0;5;11
589;0;5;6
713;2;19;17
689;2;18;15
420;0;18;7
455;1;12;1
334;7;20;4
251;0;12;9
628;0;6;5
532;0;18;15
400;0;18;7
255;0;18;14
269;2;19;14
647;0;18;2
733;4;19;3
752;4;18;11
556;0;7;13
138;6;23;18
184;3;24;11
367;5;18;9
307;1;21;1
694;0;18;0
603;0;7;5
524;0;27;15
465;0;5;0
119;3;21;18
633;3;18;18
587;0;8;0
115;0;16;16
730;0;19;10
311;-1;16;13
57;0;10;16
703;3;20;3
533;2;22;1
4;0;8;20
61;0;5;1
648;0;7;3
738;3;18;12
18;1;20;8
234;7;19;7
458;4;18;5
705;2;16;6
26;0;5;2
425;5;15;1
447;0;16;17
418;0;16;6
596;0;5;13
294;0;19;15
262;0;14;13
740;3;18;8
497;1;18;17
583;0;5;7
360;0;17;15
390;0;19;20
603;0;7;20
593;0;5;3
412;2;19;15
678;9;25;5
632;0;5;3
472;6;18;5
157;3;27;19
734;0;18;0
681;2;18;2
193;0;24;11
765;3;19;14
662;2;28;16
246;0;19;18
251;0;12;15
661;3;17;3
563;0;8;10
21;0;16;6
360;0;17;11
595;0;5;12
340;2;19;19
174;5;20;1
418;0;16;7
389;0;16;6
365;4;20;20
563;0;8;2
263;2;19;17
235;8;18;12
506;0;6;3
522;6;19;20
374;0;17;14
748;0;18;7
310;0;20;10
650;0;10;18
702;0;19;6
489;2;19;12
469;2;19;20
321;0;5;19
530;0;13;12
472;1;18;7
704;0;24;0
703;2;20;2
293;2;20;9
402;2;20;3
479;0;15;2
526;2;16;9
405;0;7;19
207;5;20;13
649;0;17;15
593;0;5;2
683;0;14;0
28;0;19;18
4;0;8;4
503;2;16;8
482;0;10;17
701;3;18;20
69;4;27;14
526;0;16;3
257;1;21;1
394;0;18;7
592;0;5;20
441;0;12;6
361;0;15;9
356;2;19;13
248;1;17;8
145;4;24;18
671;4;18;8
580;0;5;7
678;3;25;20
594;0;8;1
59;0;23;18
709;4;18;7
86;9;24;15
697;5;18;19
251;0;12;12
257;0;21;2
56;0;25;17
463;2;15;6
699;0;20;2
360;0;17;4
570;0;5;10
682;0;18;1
55;0;7;18
717;0;16;2
198;7;23;16
275;0;5;1
729;8;15;8
360;0;17;3
734;4;18;17
574;0;5;18
341;1;17;9
211;7;24;13
620;0;5;5
506;0;6;20
262;0;14;12
393;0;19;14
713;5;19;10
672;3;18;3
632;0;5;12
671;3;18;14
84;0;5;17
729;0;15;5
57;0;10;15
343;0;8;9
441;0;12;20
243;0;16;1
679;0;13;17
732;0;17;8
256;0;19;19
407;1;20;4
625;0;18;11
275;2;5;12
461;0;19;0
361;0;15;19
726;3;17;3
201;7;22;12
389;0;16;5
229;5;18;18
762;5;18;17
687;0;19;15
397;2;20;8
309;0;19;14
468;0;18;2
664;0;10;17
523;0;20;11
720;0;17;0
155;0;20;20
406;11;18;6
520;0;10;3
445;0;13;18
469;1;19;12
699;0;19;5
472;2;17;17
647;4;18;17
589;0;5;2
386;2;19;3
115;0;16;11
61;0;5;18
602;0;18;11
193;1;25;8
87;4;15;11
625;3;18;7
664;4;10;3
642;0;15;16
441;0;12;12
339;3;20;3
268;2;20;14
279;2;19;3
738;0;18;19
263;6;20;8
257;2;19;18
430;3;18;9
399;8;25;2
308;0;16;19
393;0;19;17
138;6;23;9
215;0;15;3
285;3;17;5
351;0;15;20
87;2;15;14
776;0;5;20
417;7;16;1
685;0;18;20
674;6;20;6
676;0;23;10
84;0;5;14
722;0;17;1
727;0;17;20
157;0;25;0
693;12;27;15
614;0;17;14
328;0;18;12
730;0;19;5
702;0;19;19
701;3;18;3
210;5;20;3
162;0;5;9
7;0;18;18
474;0;16;13
630;7;17;9
602;0;18;17
610;3;17;12
18;0;20;0
168;0;21;18
713;5;19;1
534;0;17;7
723;4;19;9
284;3;17;1
392;0;15;1
549;0;20;20
171;3;19;9
666;0;15;0
615;2;18;14
407;2;22;20
703;1;20;7
570;0;5;20
258;1;20;15
306;0;15;3
710;0;5;15
57;0;10;6
607;0;5;20
325;0;20;10
530;4;13;15
351;3;15;7
725;0;14;16
741;0;25;10
656;0;14;4
682;0;18;13
488;6;18;5
447;3;16;3
264;0;19;0
501;4;16;15
27;0;17;17
503;0;16;19
26;0;5;16
666;0;15;4
233;7;19;6
264;0;19;10
576;0;24;19
420;0;18;9
268;0;22;4
547;0;5;2
533;0;22;3
566;0;18;0
334;4;19;10
497;6;19;5
574;0;5;17
713;3;19;18
243;0;16;8
630;7;17;2
72;1;20;5
69;1;27;7
531;3;18;2
172;10;23;15
107;1;21;18
440;8;16;13
453;0;14;2
322;6;23;19
672;9;19;10
631;0;18;8
445;0;13;7
603;0;7;17
402;4;20;12
647;0;18;0
166;7;22;11
428;0;5;6
362;6;22;11
450;7;21;13
670;0;16;18
664;3;10;18
255;0;18;18
488;0;18;10
336;0;15;3
340;0;19;0
325;4;20;2
286;1;17;9
309;1;18;19
710;0;5;18
747;3;18;7
650;0;10;7
311;0;16;0
383;7;22;10
110;0;20;14
700;4;23;10
99;0;13;9
166;7;22;19
272;0;20;9
72;0;19;20
741;4;26;9
655;0;12;14
238;0;16;0
70;0;16;6
20;0;19;8
77;5;19;18
725;0;14;9
102;4;19;14
102;-2;19;20
76;0;20;1
695;0;19;18
339;4;20;16
700;3;28;20
469;0;19;3
519;0;5;12
558;2;25;2
461;5;19;10
735;0;22;20
446;2;16;20
522;0;20;9
12;0;5;9
618;0;9;3
708;0;5;11
726;0;17;15
602;0;18;5
578;0;17;11
334;5;19;16
22;0;5;20
671;4;18;17
260;0;15;18
395;4;17;16
690;0;17;2
444;11;16;2
404;0;5;5
758;0;20;7
100;0;12;7
429;0;10;14
381;0;16;19
103;3;19;15
374;0;17;10
638;0;12;7
628;0;6;19
7;0;18;0
526;0;16;4
616;15;19;6
749;4;18;8
665;0;17;20
708;0;5;15
714;3;19;4
391;3;19;12
328;0;18;13
162;0;5;16
155;0;20;14
235;0;19;9
685;2;18;9
262;11;14;19
694;0;18;18
77;4;19;19
179;0;18;9
84;0;5;15
471;0;15;3
530;0;13;17
619;0;20;3
717;2;16;8
463;0;15;12
71;2;25;13
526;0;16;12
96;0;18;9
620;0;5;10
757;0;6;8
170;0;20;18
447;0;16;15
248;2;17;3
389;0;16;0
249;0;18;2
764;0;18;12
102;0;19;7
294;0;19;2
528;5;22;3
293;0;19;15
533;4;22;4
47;5;16;1
391;0;19;0
365;3;20;14
624;1;17;15
617;0;16;12
96;0;18;8
659;0;12;12
171;7;19;7
598;0;15;8
394;0;18;8
694;0;18;13
395;5;16;1
77;2;20;8
22;0;5;16
318;5;18;17
739;0;5;12
578;0;17;20
399;4;25;6
293;1;19;20
90;0;20;6
307;1;22;16
645;2;24;16
181;2;19;14
279;0;19;4
409;0;13;10
598;0;15;0
387;1;21;7
269;4;19;11
524;0;27;10
371;2;22;17
93;7;14;3
742;2;18;18
154;3;21;12
607;0;5;19
697;8;16;8
718;0;16;5
107;2;18;9
706;5;15;9
19;2;19;4
164;0;15;6
245;0;7;7
742;0;18;1
3;2;18;9
681;7;18;1
285;3;18;19
575;0;5;18
677;0;21;5
431;2;17;9
256;0;19;0
619;0;20;0
546;0;5;14
269;3;19;8
710;0;5;19
21;0;16;20
110;4;20;5
99;0;13;15
300;0;10;6
531;2;18;1
272;0;20;11
184;0;24;5
385;0;24;12
382;0;5;12
589;0;5;3
720;6;17;2
55;0;7;15
309;4;18;20
197;5;18;1
601;0;17;4
767;2;18;11
236;0;22;20
665;0;17;19
530;0;13;3
271;2;19;17
578;0;17;15
519;0;5;13
610;-2;17;17
596;0;5;8
699;2;19;15
64;0;5;15
656;0;14;7
87;2;15;16
396;0;5;17
739;0;5;18
387;5;21;16
599;0;17;7
750;0;19;15
738;2;18;11
726;0;17;13
425;0;15;12
3;1;18;7
105;0;16;10
685;2;18;5
674;1;20;10
661;3;17;10
107;10;17;3
498;0;20;9
386;0;19;0
28;1;20;3
30;3;15;2
580;0;5;11
503;0;16;2
307;2;22;9
710;0;5;9
555;3;19;20
86;7;24;17
328;0;18;6
498;-1;20;7
358;0;18;13
650;0;10;19
683;3;14;12
520;0;10;1
248;2;17;17
583;0;5;3
631;3;18;6
750;2;19;14
618;0;9;10
492;1;14;8
325;0;20;11
721;0;25;10
474;0;16;12
255;0;18;12
399;0;25;10
422;0;8;1
391;6;19;4
486;0;7;20
20;0;19;0
675;5;20;9
671;4;18;4
569;0;12;17
594;0;8;17
526;1;16;15
640;6;20;4
770;0;5;19
185;1;15;11
622;9;18;18
482;0;10;7
564;0;12;7
262;0;14;0
322;2;23;12
491;7;17;11
670;0;16;5
621;0;5;2
652;0;5;14
344;2;18;14
346;5;19;5
717;1;16;12
447;0;16;20
580;0;5;18
163;0;16;4
674;5;20;4
263;3;19;20
689;1;19;2
345;0;14;10
553;0;15;12
162;0;5;11
417;0;16;20
482;0;10;19
731;0;24;18
664;0;10;0
723;7;19;5
625;2;18;16
529;7;20;2
529;4;20;5
7;0;18;7
441;0;12;13
465;0;5;3
240;1;18;20
765;0;20;7
708;0;5;14
279;4;18;20
223;0;15;16
756;0;14;6
628;0;6;1
524;3;27;12
580;0;5;5
519;0;5;19
84;0;5;20
100;0;12;5
642;0;15;11
343;0;8;10
636;3;17;17
128;2;19;9
705;2;16;8
575;0;5;13
706;3;15;20
589;0;5;8
409;0;13;1
647;0;18;1
522;5;19;13
182;3;25;4
294;0;19;11
620;0;5;11
691;0;18;19
714;9;19;8
65;3;26;6
259;0;17;10
15;0;9;5
70;0;16;10
53;2;19;1
300;0;10;9
192;0;5;0
75;7;24;20
75;0;26;3
524;7;27;19
693;2;24;8
415;0;18;0
196;7;19;16
553;0;15;1
412;0;19;7
268;1;19;18
440;2;16;8
328;0;18;11
669;0;16;15
415;6;19;20
596;0;5;16
746;2;18;9
272;0;20;10
311;6;16;19
310;0;20;1
569;0;12;0
317;0;22;3
418;11;16;10
645;3;20;4
72;0;19;16
600;0;5;1
755;7;18;18
317;4;21;16
607;0;5;13
560;0;20;0
249;5;18;3
28;1;19;20
631;0;18;1
171;1;19;16
632;0;5;8
658;8;20;7
736;0;19;15
351;7;15;16
57;0;10;17
542;2;6;13
243;1;16;15
549;0;20;19
217;0;20;7
307;-2;22;18
577;2;17;12
392;1;15;11
578;0;17;0
19;0;19;17
630;1;17;14
235;0;19;6
367;2;18;3
164;1;15;7
533;0;20;9
499;0;35;16
636;2;17;19
748;4;18;16
381;0;16;20
739;0;5;2
14;1;18;5
665;2;17;18
642;0;15;4
245;0;7;4
271;4;19;5
240;10;18;16
172;2;24;12
21;0;16;18
284;2;19;19
528;9;23;15
707;0;5;17
666;0;15;8
392;3;15;5
487;7;20;8
47;2;16;4
163;0;16;0
430;3;19;12
647;5;18;7
533;1;20;15
414;3;19;5
598;0;15;11
402;5;20;2
699;4;19;12
196;0;19;3
354;3;16;16
